epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
4011,uka,0.05770053341984749,0.05769318714737892,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.159434+02:00
4012,uka,0.05769318714737892,0.057685837149620056,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.161283+02:00
4013,uka,0.057685837149620056,0.05767852067947388,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.163140+02:00
4014,uka,0.057678528130054474,0.057671185582876205,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.164997+02:00
4015,uka,0.057671185582876205,0.05766386166214943,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.166843+02:00
4016,uka,0.05766385793685913,0.057656534016132355,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.168692+02:00
4017,uka,0.05765654146671295,0.057649217545986176,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.170538+02:00
4018,uka,0.05764922499656677,0.05764190852642059,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.172380+02:00
4019,uka,0.05764190852642059,0.05763459950685501,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.174244+02:00
4020,uka,0.05763459950685501,0.05762728303670883,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.176101+02:00
4021,uka,0.05762728303670883,0.057619981467723846,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.177929+02:00
4022,uka,0.057619981467723846,0.05761268362402916,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.179817+02:00
4023,uka,0.05761267617344856,0.057605382055044174,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.181652+02:00
4024,uka,0.05760538950562477,0.057598087936639786,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.183474+02:00
